"department","Year","id","Rain"
"Kolda",1993,"pd1",588.666666666667
"Kolda",1993,"pd2",451.333333333333
"Kolda",1993,"pd3",326
"Kolda",1994,"pd1",753.666666666667
"Kolda",1994,"pd2",677.666666666667
"Kolda",1994,"pd3",590.666666666667
"Kolda",1995,"pd1",646.333333333333
"Kolda",1995,"pd2",534
"Kolda",1995,"pd3",414
"Kolda",1996,"pd1",709.333333333333
"Kolda",1996,"pd2",642.333333333333
"Kolda",1996,"pd3",548.666666666667
"Kolda",1997,"pd1",611
"Kolda",1997,"pd2",513.333333333333
"Kolda",1997,"pd3",444
"Kolda",1998,"pd1",720.333333333333
"Kolda",1998,"pd2",634
"Kolda",1998,"pd3",516.333333333333
"Kolda",1999,"pd1",872
"Kolda",1999,"pd2",771.666666666667
"Kolda",1999,"pd3",685.666666666667
"Kolda",2000,"pd1",646.666666666667
"Kolda",2000,"pd2",546
"Kolda",2000,"pd3",417.333333333333
"Kolda",2001,"pd1",549.333333333333
"Kolda",2001,"pd2",438.666666666667
"Kolda",2001,"pd3",347
"Kolda",2002,"pd1",581.333333333333
"Kolda",2002,"pd2",465
"Kolda",2002,"pd3",402.333333333333
"Kolda",2003,"pd1",732.666666666667
"Kolda",2003,"pd2",600
"Kolda",2003,"pd3",517
"Kolda",2004,"pd1",636.333333333333
"Kolda",2004,"pd2",518.333333333333
"Kolda",2004,"pd3",409.666666666667
"Kolda",2005,"pd1",664.333333333333
"Kolda",2005,"pd2",534.333333333333
"Kolda",2005,"pd3",431
"Kolda",2006,"pd1",607.333333333333
"Kolda",2006,"pd2",530
"Kolda",2006,"pd3",469.333333333333
"Kolda",2007,"pd1",556
"Kolda",2007,"pd2",485.666666666667
"Kolda",2007,"pd3",376.333333333333
"Kolda",2008,"pd1",635
"Kolda",2008,"pd2",563.333333333333
"Kolda",2008,"pd3",484.333333333333
"Kolda",2009,"pd1",703
"Kolda",2009,"pd2",593.666666666667
"Kolda",2009,"pd3",512.333333333333
"Kolda",2010,"pd1",697.333333333333
"Kolda",2010,"pd2",581.333333333333
"Kolda",2010,"pd3",468.666666666667
"Kolda",2011,"pd1",555.666666666667
"Kolda",2011,"pd2",478
"Kolda",2011,"pd3",400.333333333333
"Kolda",2012,"pd1",644
"Kolda",2012,"pd2",518
"Kolda",2012,"pd3",426.333333333333
"Kolda",2013,"pd1",612.666666666667
"Kolda",2013,"pd2",557.333333333333
"Kolda",2013,"pd3",486.666666666667
"Kolda",2014,"pd1",445.666666666667
"Kolda",2014,"pd2",408
"Kolda",2014,"pd3",350.666666666667
"Kolda",2015,"pd1",722.666666666667
"Kolda",2015,"pd2",658
"Kolda",2015,"pd3",549
"Kolda",2016,"pd1",656
"Kolda",2016,"pd2",600
"Kolda",2016,"pd3",479.666666666667
"Kolda",2017,"pd1",706.333333333333
"Kolda",2017,"pd2",606
"Kolda",2017,"pd3",457.666666666667
"Kolda",2018,"pd1",663.333333333333
"Kolda",2018,"pd2",567.666666666667
"Kolda",2018,"pd3",468.333333333333
"Kolda",2019,"pd1",658.333333333333
"Kolda",2019,"pd2",517
"Kolda",2019,"pd3",457.666666666667
"Kolda",2020,"pd1",826.333333333333
"Kolda",2020,"pd2",715
"Kolda",2020,"pd3",546
"Kolda",2021,"pd1",694
"Kolda",2021,"pd2",616
"Kolda",2021,"pd3",490.666666666667
"Thies",1990,"pd1",368
"Thies",1990,"pd2",234.5
"Thies",1990,"pd3",131
"Thies",1991,"pd1",286.5
"Thies",1991,"pd2",253.5
"Thies",1991,"pd3",95.5
"Thies",1992,"pd1",321
"Thies",1992,"pd2",215.5
"Thies",1992,"pd3",49.5
"Thies",1993,"pd1",356
"Thies",1993,"pd2",189.5
"Thies",1993,"pd3",84
"Thies",1994,"pd1",400.5
"Thies",1994,"pd2",216
"Thies",1994,"pd3",115
"Thies",1995,"pd1",452
"Thies",1995,"pd2",308.5
"Thies",1995,"pd3",129
"Thies",1996,"pd1",324
"Thies",1996,"pd2",278.5
"Thies",1996,"pd3",109.5
"Thies",1997,"pd1",373
"Thies",1997,"pd2",302
"Thies",1997,"pd3",89
"Thies",1998,"pd1",362.5
"Thies",1998,"pd2",240.5
"Thies",1998,"pd3",140.5
"Thies",1999,"pd1",483
"Thies",1999,"pd2",338.5
"Thies",1999,"pd3",168.5
"Thies",2000,"pd1",347
"Thies",2000,"pd2",242
"Thies",2000,"pd3",148.5
"Thies",2001,"pd1",373
"Thies",2001,"pd2",261.5
"Thies",2001,"pd3",108
"Thies",2002,"pd1",402.5
"Thies",2002,"pd2",323.5
"Thies",2002,"pd3",144.5
"Thies",2003,"pd1",470.5
"Thies",2003,"pd2",299.5
"Thies",2003,"pd3",140.5
"Thies",2004,"pd1",311.5
"Thies",2004,"pd2",169
"Thies",2004,"pd3",82
"Thies",2005,"pd1",533.5
"Thies",2005,"pd2",361
"Thies",2005,"pd3",141.5
"Thies",2006,"pd1",390
"Thies",2006,"pd2",262
"Thies",2006,"pd3",109.5
"Thies",2007,"pd1",401
"Thies",2007,"pd2",246.5
"Thies",2007,"pd3",146
"Thies",2008,"pd1",476
"Thies",2008,"pd2",324.5
"Thies",2008,"pd3",108
"Thies",2009,"pd1",507
"Thies",2009,"pd2",342
"Thies",2009,"pd3",137
"Thies",2010,"pd1",512.5
"Thies",2010,"pd2",407
"Thies",2010,"pd3",225.5
"Thies",2011,"pd1",353.5
"Thies",2011,"pd2",222
"Thies",2011,"pd3",87
"Thies",2012,"pd1",566
"Thies",2012,"pd2",386
"Thies",2012,"pd3",161.5
"Thies",2013,"pd1",451
"Thies",2013,"pd2",272
"Thies",2013,"pd3",115
"Thies",2014,"pd1",286
"Thies",2014,"pd2",230.5
"Thies",2014,"pd3",116.5
"Thies",2015,"pd1",564.5
"Thies",2015,"pd2",414
"Thies",2015,"pd3",199
"Thies",2016,"pd1",420
"Thies",2016,"pd2",276
"Thies",2016,"pd3",148
"Thies",2017,"pd1",370.5
"Thies",2017,"pd2",192
"Thies",2017,"pd3",60
"Thies",2018,"pd1",308
"Thies",2018,"pd2",250.5
"Thies",2018,"pd3",57.5
"Thies",2019,"pd1",375.5
"Thies",2019,"pd2",332.5
"Thies",2019,"pd3",106.5
"Thies",2020,"pd1",530.5
"Thies",2020,"pd2",378
"Thies",2020,"pd3",188
"Thies",2021,"pd1",521.5
"Thies",2021,"pd2",316.5
"Thies",2021,"pd3",110
"Tivaoune",1990,"pd1",298
"Tivaoune",1990,"pd2",150
"Tivaoune",1990,"pd3",70
"Tivaoune",1991,"pd1",234
"Tivaoune",1991,"pd2",164
"Tivaoune",1991,"pd3",17
"Tivaoune",1992,"pd1",212
"Tivaoune",1992,"pd2",125
"Tivaoune",1992,"pd3",26
"Tivaoune",1993,"pd1",233
"Tivaoune",1993,"pd2",146
"Tivaoune",1993,"pd3",42
"Tivaoune",1994,"pd1",292
"Tivaoune",1994,"pd2",160
"Tivaoune",1994,"pd3",100
"Tivaoune",1995,"pd1",366
"Tivaoune",1995,"pd2",204
"Tivaoune",1995,"pd3",87
"Tivaoune",1996,"pd1",235
"Tivaoune",1996,"pd2",146
"Tivaoune",1996,"pd3",47
"Tivaoune",1997,"pd1",301
"Tivaoune",1997,"pd2",195
"Tivaoune",1997,"pd3",25
"Tivaoune",1998,"pd1",296
"Tivaoune",1998,"pd2",167
"Tivaoune",1998,"pd3",68
"Tivaoune",1999,"pd1",371
"Tivaoune",1999,"pd2",225
"Tivaoune",1999,"pd3",60
"Tivaoune",2000,"pd1",290
"Tivaoune",2000,"pd2",164
"Tivaoune",2000,"pd3",66
"Tivaoune",2001,"pd1",333
"Tivaoune",2001,"pd2",227
"Tivaoune",2001,"pd3",71
"Tivaoune",2002,"pd1",303
"Tivaoune",2002,"pd2",214
"Tivaoune",2002,"pd3",48
"Tivaoune",2003,"pd1",345
"Tivaoune",2003,"pd2",194
"Tivaoune",2003,"pd3",72
"Tivaoune",2004,"pd1",271
"Tivaoune",2004,"pd2",112
"Tivaoune",2004,"pd3",43
"Tivaoune",2005,"pd1",362
"Tivaoune",2005,"pd2",191
"Tivaoune",2005,"pd3",66
"Tivaoune",2006,"pd1",326
"Tivaoune",2006,"pd2",200
"Tivaoune",2006,"pd3",64
"Tivaoune",2007,"pd1",323
"Tivaoune",2007,"pd2",188
"Tivaoune",2007,"pd3",81
"Tivaoune",2008,"pd1",357
"Tivaoune",2008,"pd2",232
"Tivaoune",2008,"pd3",58
"Tivaoune",2009,"pd1",378
"Tivaoune",2009,"pd2",252
"Tivaoune",2009,"pd3",92
"Tivaoune",2010,"pd1",412
"Tivaoune",2010,"pd2",316
"Tivaoune",2010,"pd3",122
"Tivaoune",2011,"pd1",288
"Tivaoune",2011,"pd2",144
"Tivaoune",2011,"pd3",49
"Tivaoune",2012,"pd1",473
"Tivaoune",2012,"pd2",302
"Tivaoune",2012,"pd3",123
"Tivaoune",2013,"pd1",403
"Tivaoune",2013,"pd2",243
"Tivaoune",2013,"pd3",102
"Tivaoune",2014,"pd1",230
"Tivaoune",2014,"pd2",159
"Tivaoune",2014,"pd3",71
"Tivaoune",2015,"pd1",516
"Tivaoune",2015,"pd2",268
"Tivaoune",2015,"pd3",108
"Tivaoune",2016,"pd1",377
"Tivaoune",2016,"pd2",215
"Tivaoune",2016,"pd3",96
"Tivaoune",2017,"pd1",262
"Tivaoune",2017,"pd2",113
"Tivaoune",2017,"pd3",36
"Tivaoune",2018,"pd1",251
"Tivaoune",2018,"pd2",182
"Tivaoune",2018,"pd3",38
"Tivaoune",2019,"pd1",316
"Tivaoune",2019,"pd2",235
"Tivaoune",2019,"pd3",59
"Tivaoune",2020,"pd1",418
"Tivaoune",2020,"pd2",293
"Tivaoune",2020,"pd3",86
"Tivaoune",2021,"pd1",450
"Tivaoune",2021,"pd2",220
"Tivaoune",2021,"pd3",80
