loc,department,id,plantingDateMean,harvestingDateMean
5,Kaolack,pd1,181,264
1,Kaolack,pd1,181,264
2,Kaolack,pd1,181,264
3,Kaolack,pd1,181,264
4,Kaolack,pd1,181,264
5,Kaolack,pd1,181,264
1,Kaolack,pd1,181,264
2,Kaolack,pd1,181,264
3,Kaolack,pd1,181,264
4,Kaolack,pd1,181,264
5,Kaolack,pd1,181,264
1,Kaolack,pd1,181,264
2,Kaolack,pd1,181,264
3,Kaolack,pd1,181,264
4,Kaolack,pd1,181,264
5,Kaolack,pd1,181,264
1,Kaolack,pd2,215,296
2,Kaolack,pd2,215,296
3,Kaolack,pd2,215,296
4,Kaolack,pd2,215,296
5,Kaolack,pd2,215,296
1,Kaolack,pd2,215,296
2,Kaolack,pd2,215,296
3,Kaolack,pd2,215,296
4,Kaolack,pd2,215,296
5,Kaolack,pd2,215,296
1,Kaolack,pd2,215,296
2,Kaolack,pd2,215,296
3,Kaolack,pd2,215,296
4,Kaolack,pd2,215,296
5,Kaolack,pd2,215,296
1,Kaolack,pd2,215,296
2,Kaolack,pd2,215,296
3,Kaolack,pd2,215,296
4,Kaolack,pd2,215,296
5,Kaolack,pd2,215,296
1,Kaolack,pd2,215,296
2,Kaolack,pd2,215,296
3,Kaolack,pd2,215,296
4,Kaolack,pd2,215,296
5,Kaolack,pd2,215,296
1,Kaolack,pd2,215,296
2,Kaolack,pd2,215,296
3,Kaolack,pd2,215,296
4,Kaolack,pd2,215,296
5,Kaolack,pd2,215,296
1,Kaolack,pd3,235,314
2,Kaolack,pd3,235,314
3,Kaolack,pd3,235,314
4,Kaolack,pd3,235,314
5,Kaolack,pd3,235,314
1,Kaolack,pd3,235,314
2,Kaolack,pd3,235,314
3,Kaolack,pd3,235,314
4,Kaolack,pd3,235,314
5,Kaolack,pd3,235,314
1,Kaolack,pd3,235,314
2,Kaolack,pd3,235,314
3,Kaolack,pd3,235,314
4,Kaolack,pd3,235,314
5,Kaolack,pd3,235,314
1,Kaolack,pd3,235,314
2,Kaolack,pd3,235,314
3,Kaolack,pd3,235,314
4,Kaolack,pd3,235,314
5,Kaolack,pd3,235,314
1,Kaolack,pd3,235,314
2,Kaolack,pd3,235,314
3,Kaolack,pd3,235,314
4,Kaolack,pd3,235,314
5,Kaolack,pd3,235,314
1,Kaolack,pd3,235,314
2,Kaolack,pd3,235,314
3,Kaolack,pd3,235,314
4,Kaolack,pd3,235,314
5,Kaolack,pd3,235,314
1,Kolda,pd1,160,283
2,Kolda,pd1,160,283
3,Kolda,pd1,160,283
4,Kolda,pd1,160,283
5,Kolda,pd1,160,283
1,Kolda,pd1,160,283
2,Kolda,pd1,160,283
3,Kolda,pd1,160,283
4,Kolda,pd1,160,283
5,Kolda,pd1,160,283
1,Kolda,pd1,160,283
2,Kolda,pd1,160,283
3,Kolda,pd1,160,283
4,Kolda,pd1,160,283
5,Kolda,pd1,160,283
1,Kolda,pd1,160,283
2,Kolda,pd1,160,283
3,Kolda,pd1,160,283
4,Kolda,pd1,160,283
5,Kolda,pd1,160,283
1,Kolda,pd1,160,283
2,Kolda,pd1,160,283
3,Kolda,pd1,160,283
4,Kolda,pd1,160,283
5,Kolda,pd1,160,283
1,Kolda,pd1,160,283
2,Kolda,pd1,160,283
3,Kolda,pd1,160,283
4,Kolda,pd1,160,283
5,Kolda,pd1,160,283
1,Kolda,pd2,193,320
2,Kolda,pd2,193,320
3,Kolda,pd2,193,320
4,Kolda,pd2,193,320
5,Kolda,pd2,193,320
1,Kolda,pd2,193,320
2,Kolda,pd2,193,320
3,Kolda,pd2,193,320
4,Kolda,pd2,193,320
5,Kolda,pd2,193,320
1,Kolda,pd2,193,320
2,Kolda,pd2,193,320
3,Kolda,pd2,193,320
4,Kolda,pd2,193,320
5,Kolda,pd2,193,320
1,Kolda,pd2,193,320
2,Kolda,pd2,193,320
3,Kolda,pd2,193,320
4,Kolda,pd2,193,320
5,Kolda,pd2,193,320
1,Kolda,pd2,193,320
2,Kolda,pd2,193,320
3,Kolda,pd2,193,320
4,Kolda,pd2,193,320
5,Kolda,pd2,193,320
1,Kolda,pd2,193,320
2,Kolda,pd2,193,320
3,Kolda,pd2,193,320
4,Kolda,pd2,193,320
5,Kolda,pd2,193,320
1,Kolda,pd3,213,343
2,Kolda,pd3,213,343
3,Kolda,pd3,213,343
4,Kolda,pd3,213,343
5,Kolda,pd3,213,343
1,Kolda,pd3,213,343
2,Kolda,pd3,213,343
3,Kolda,pd3,213,343
4,Kolda,pd3,213,343
5,Kolda,pd3,213,343
1,Kolda,pd3,213,343
2,Kolda,pd3,213,343
3,Kolda,pd3,213,343
4,Kolda,pd3,213,343
5,Kolda,pd3,213,343
1,Kolda,pd3,213,343
2,Kolda,pd3,213,343
3,Kolda,pd3,213,343
4,Kolda,pd3,213,343
5,Kolda,pd3,213,343
1,Kolda,pd3,213,343
2,Kolda,pd3,213,343
3,Kolda,pd3,213,343
4,Kolda,pd3,213,343
5,Kolda,pd3,213,343
1,Kolda,pd3,213,343
2,Kolda,pd3,213,343
3,Kolda,pd3,213,343
4,Kolda,pd3,213,343
5,Kolda,pd3,213,343
1,Kaffrine,pd1,172,255
2,Kaffrine,pd1,172,255
3,Kaffrine,pd1,172,255
4,Kaffrine,pd1,172,255
5,Kaffrine,pd1,172,255
1,Kaffrine,pd1,172,255
2,Kaffrine,pd1,172,255
3,Kaffrine,pd1,172,255
4,Kaffrine,pd1,172,255
5,Kaffrine,pd1,172,255
1,Kaffrine,pd1,172,255
2,Kaffrine,pd1,172,255
3,Kaffrine,pd1,172,255
4,Kaffrine,pd1,172,255
5,Kaffrine,pd1,172,255
1,Kaffrine,pd1,172,255
2,Kaffrine,pd1,172,255
3,Kaffrine,pd1,172,255
4,Kaffrine,pd1,172,255
5,Kaffrine,pd1,172,255
1,Kaffrine,pd1,172,255
2,Kaffrine,pd1,172,255
3,Kaffrine,pd1,172,255
4,Kaffrine,pd1,172,255
5,Kaffrine,pd1,172,255
1,Kaffrine,pd1,172,255
2,Kaffrine,pd1,172,255
3,Kaffrine,pd1,172,255
4,Kaffrine,pd1,172,255
5,Kaffrine,pd1,172,255
1,Kaffrine,pd2,207,290
2,Kaffrine,pd2,207,290
3,Kaffrine,pd2,207,290
4,Kaffrine,pd2,207,290
5,Kaffrine,pd2,207,290
1,Kaffrine,pd2,207,290
2,Kaffrine,pd2,207,290
3,Kaffrine,pd2,207,290
4,Kaffrine,pd2,207,290
5,Kaffrine,pd2,207,290
1,Kaffrine,pd2,207,290
2,Kaffrine,pd2,207,290
3,Kaffrine,pd2,207,290
4,Kaffrine,pd2,207,290
5,Kaffrine,pd2,207,290
1,Kaffrine,pd2,207,290
2,Kaffrine,pd2,207,290
3,Kaffrine,pd2,207,290
4,Kaffrine,pd2,207,290
5,Kaffrine,pd2,207,290
1,Kaffrine,pd2,207,290
2,Kaffrine,pd2,207,290
3,Kaffrine,pd2,207,290
4,Kaffrine,pd2,207,290
5,Kaffrine,pd2,207,290
1,Kaffrine,pd2,207,290
2,Kaffrine,pd2,207,290
3,Kaffrine,pd2,207,290
4,Kaffrine,pd2,207,290
5,Kaffrine,pd2,207,290
1,Kaffrine,pd3,228,308
2,Kaffrine,pd3,228,308
3,Kaffrine,pd3,228,308
4,Kaffrine,pd3,228,308
5,Kaffrine,pd3,228,308
1,Kaffrine,pd3,228,308
